Forest,Site_Year_Code,Community,Harvest_Survey_Year,Habitat,Lowest_Common_Taxon_Name,Percapita_Pounds_Harvested_sum,Community_Population_2020,est_total_lbs_2020,est_total_kgs_2020,Group,Food Category,Cost_per_lb,total_cost_est_2020,total_cost_est_2020_mil,servings,servigs_percapita
Chugach,Chenega_2014,Chenega,2014,Terrestrial,Berries,14.30,59,843.77,382.73,Berries,Blueberries,8.96,7560.21,0.01,2551.53,43.24621127
Chugach,Chenega_2014,Chenega,2014,Terrestrial,Black Bear,6.96,59,410.64,186.26,Other Large Land Mammals,Bison,33.00,13550.29,0.01,1241.75,21.04666601
Chugach,Chenega_2014,Chenega,2014,Freshwater_Anadromous,Chinook Salmon,6.11,59,360.71,163.61,Salmon,Pacific Salmon,11.99,4324.86,0.00,1090.76,18.48739202
Chugach,Chenega_2014,Chenega,2014,Freshwater_Anadromous,Chum Salmon,30.90,59,1823.14,826.96,Salmon,Pacific Salmon,11.99,21859.39,0.02,5513.07,93.44182747
Chugach,Chenega_2014,Chenega,2014,Nearshore,Clam,4.45,59,262.38,119.02,Mollusc,Scallop,11.19,2936.08,0.00,793.44,13.44809358
Chugach,Chenega_2014,Chenega,2014,Nearshore,Cockle,1.85,59,109.15,49.51,Mollusc,Scallop,11.19,1221.39,0.00,330.06,5.594300454
Chugach,Chenega_2014,Chenega,2014,Freshwater_Anadromous,Coho Salmon,16.00,59,943.90,428.15,Salmon,Pacific Salmon,11.99,11317.42,0.01,2854.32,48.37829943
Chugach,Chenega_2014,Chenega,2014,Terrestrial,Deer,10.37,59,611.71,277.47,Deer,Venison,25.00,15291.56,0.02,1849.78,31.35227589
Chugach,Chenega_2014,Chenega,2014,Freshwater_Anadromous,Dolly Varden,0.62,59,36.34,16.49,Char,Pacific Salmon,11.99,435.76,0.00,109.90,1.862750852
Chugach,Chenega_2014,Chenega,2014,Terrestrial,Duck,2.89,59,170.24,77.22,Birds/Eggs,Duck,16.00,2723.81,0.00,514.79,8.725275311
Chugach,Chenega_2014,Chenega,2014,Terrestrial,Geese,0.34,59,19.82,8.99,Birds/Eggs,Duck,16.00,317.18,0.00,59.95,1.016045941
Chugach,Chenega_2014,Chenega,2014,Terrestrial,Geese Eggs,0.14,59,8.50,3.85,Birds/Eggs,Eggs,4.99,42.42,0.00,25.69,0.435448252
Chugach,Chenega_2014,Chenega,2014,Marine,Grayling,0.42,59,24.78,11.24,Non-Halibut Fish,Pacific Cod,8.79,217.82,0.00,74.93,1.270057426
Chugach,Chenega_2014,Chenega,2014,Marine,Halibut,29.81,59,1758.67,797.72,Halibut,Halibut,27.99,49219.32,0.05,5318.13,90.1377911
Chugach,Chenega_2014,Chenega,2014,Marine,Herring,2.88,59,169.92,77.07,Non-Halibut Fish,Herring,9.32,1583.65,0.00,513.83,8.708965339
Chugach,Chenega_2014,Chenega,2014,Marine,Lingcod,0.96,59,56.64,25.69,Non-Halibut Fish,Pacific Cod,8.79,497.87,0.00,171.28,2.902988446
Chugach,Chenega_2014,Chenega,2014,Terrestrial,Moose,21.60,59,1274.40,578.06,Other Large Land Mammals,Venison,25.00,31857.42,0.03,3853.72,65.3172408
Chugach,Chenega_2014,Chenega,2014,Marine,Octopus,1.60,59,94.40,42.82,Marine Invertebrates,Octopus,32.38,3056.58,0.00,285.46,4.838314077
Chugach,Chenega_2014,Chenega,2014,Freshwater_Anadromous,Pink Salmon,12.50,59,737.34,334.45,Salmon,Pacific Salmon,11.99,8840.71,0.01,2229.68,37.79118741
Chugach,Chenega_2014,Chenega,2014,Terrestrial,Plants/Greens,0.26,59,15.34,6.96,Plants/Greens,Spinach,14.40,220.90,0.00,46.39,0.786226025
Chugach,Chenega_2014,Chenega,2014,Marine,Rockfish,16.96,59,1000.37,453.76,Non-Halibut Fish,Rockfish,8.79,8793.25,0.01,3025.07,51.27234345
Chugach,Chenega_2014,Chenega,2014,Terrestrial,Seabirds and Loon Eggs,0.14,59,8.50,3.85,Birds/Eggs,Eggs,4.99,42.42,0.00,25.69,0.435448252
Chugach,Chenega_2014,Chenega,2014,Marine,Shrimp,0.08,59,4.72,2.14,Marine Invertebrates,Shrimp,7.99,37.71,0.00,14.27,0.241915689
Chugach,Chenega_2014,Chenega,2014,Nearshore,Snails,4.90,59,289.10,131.13,Mollusc,Scallop,11.19,3235.03,0.00,874.22,14.81733654
Chugach,Chenega_2014,Chenega,2014,Freshwater_Anadromous,Sockeye Salmon,61.26,59,3614.29,1639.42,Salmon,Pacific Salmon,11.99,43335.38,0.04,10929.44,185.244741
Chugach,Chenega_2014,Chenega,2014,Terrestrial,Squirrel,0.20,59,11.80,5.35,Small Land Mammals,Venison,25.00,294.98,0.00,35.68,0.604789252
Chugach,Chenega_2014,Chenega,2014,Marine,Tanner Crab,4.16,59,245.44,111.33,Offshore Crab,Crab,30.00,7362.95,0.01,742.20,12.5796163
Chugach,Chenega_2014,Chenega,2014,Marine,Unknown Greenling,1.44,59,84.96,38.54,Non-Halibut Fish,Pacific Cod,8.79,746.80,0.00,256.91,4.354482518
