"","Forest","Community","Harvest_Survey_Year","Community_Population_2020","est_total_kgs_2020_sum","total_cost_est_2020_sum","total_cost_est_2020_mil_sum","servings_sum","total_percapita_cost","percapita_servings","total_percapita_kg"
"1","Chugach","Chenega","2014",59,6806.53557143228,241161.041382747,0.241161041382747,45376.9038095486,4087.47527767368,769.10006456862,115.365009685293
"2","Chugach","Cooper Landing","1990",344,14272.5923648616,546652.266773333,0.546652266773333,95150.615765744,1589.10542666667,276.600627226,41.4900940839
"3","Chugach","Cordova","2014",2609,137454.735305135,5805861.7341174,5.8058617341174,916364.902034237,2225.32071066209,351.232235352333,52.6848353028499
"4","Chugach","Hope","1990",161,8088.6224350932,300870.10884,0.30087010884,53924.149567288,1868.75844,334.932606008,50.2398909012
"5","Chugach","Moose Pass","2000",228,8976.774439248,361200.9744,0.3612009744,59845.16292832,1584.2148,262.478784773333,39.371817716
"6","Chugach","Nanwalek","2014",247,28348.0457743959,953384.865534629,0.953384865534629,188986.971829306,3859.85775520093,765.129440604479,114.769416090672
"7","Chugach","Port Graham","2014",162,16020.9669344278,595807.79989863,0.59580779989863,106806.446229519,3677.82592530019,659.299050799499,98.8948576199248
"8","Chugach","Seward","2000",2717,119420.574474201,4453879.29176667,4.45387929176667,796137.16316134,1639.26363333333,293.02067102,43.953100653
"9","Chugach","Tatitlek","2014",90,11984.32938307,540045.729838749,0.540045729838749,79895.5292204663,6000.50810931944,887.728102449626,133.159215367444
"10","Chugach","Valdez","1992",3985,186974.585089908,7202626.35156429,7.20262635156429,1246497.23393272,1807.43446714286,312.797298352,46.9195947528
"11","Chugach","Whittier","1990",272,9878.8063699248,343102.74208,0.34310274208,65858.709132832,1261.40714,242.127607106,36.3191410659
"12","Tongass","Angoon","2012",357,29504.097143598,1359864.9367,1.3598649367,196693.98095732,3809.14548095238,550.963532093333,82.644529814
"13","Tongass","Coffman Cove","1998",127,15907.9606878885,680348.737634286,0.680348737634286,106053.07125259,5357.07667428571,835.06355317,125.2595329755
"14","Tongass","Craig","1997",1036,108974.841144708,4686447.898,4.686447898,726498.94096472,4523.59835714286,701.25380402,105.188070603
"15","Tongass","Edna Bay","1998",25,4346.095293155,161604.119892857,0.161604119892857,28973.9686210333,6464.16479571428,1158.95874484133,173.8438117262
"16","Tongass","Elfin Cove","1987",24,2857.8496553376,151301.6396,0.1513016396,19052.331035584,6304.23498333333,793.847126482666,119.0770689724
"17","Tongass","Game Creek","1996",23,1953.1959607622,86512.3780966667,0.0865123780966667,13021.3064050813,3761.40774333333,566.143756742667,84.9215635114
"18","Tongass","Gustavus","1987",655,71551.3160559505,3425848.02209524,3.42584802209524,477008.773706337,5230.30232380952,728.257669780666,109.2386504671
"19","Tongass","Haines","2012",1657,101165.704184314,4020501.93893333,4.02050193893333,674438.027895427,2426.37413333333,407.023553346667,61.053533002
"20","Tongass","Hollis","1998",65,4990.377895503,192256.540264286,0.192256540264286,33269.18597002,2957.79292714286,511.833630308,76.7750445462
"21","Tongass","Hoonah","2012",931,144804.782839563,6167484.76026667,6.16748476026667,965365.21893042,6624.58083809524,1036.91215782,155.536823673
"22","Tongass","Hydaburg","2012",380,91422.44935824,3688911.15828571,3.68891115828571,609482.9957216,9707.66094285714,1603.90262032,240.585393048
"23","Tongass","Hyder","1987",48,7517.5859286528,306488.070651429,0.306488070651429,50117.239524352,6385.16813857143,1044.10915675733,156.6163735136
"24","Tongass","Kake","1996",543,44112.447652581,2103634.88121857,2.10363488121857,294082.98435054,3874.09738714286,541.58928978,81.238393467
"25","Tongass","Kasaan","1998",30,6150.576459489,298753.296214286,0.298753296214286,41003.84306326,9958.44320714286,1366.79476877533,205.0192153163
"26","Tongass","Klawock","1997",720,104618.721460176,4511613.03874286,4.51161303874286,697458.14306784,6266.12922047619,968.691865372,145.3037798058
"27","Tongass","Klukwan","2014",87,17820.34780721,541971.966842749,0.541971966842749,118802.318714734,6229.56283727298,1365.5438932728,204.83158399092
"28","Tongass","Metlakatla","1987",1454,46252.3694483774,2259605.67094952,2.25960567094952,308349.129655849,1554.06167190476,212.069552720667,31.8104329081
"29","Tongass","Naukati Bay","1998",142,15559.5518525678,618920.78678,0.61892078678,103730.345683785,4358.59709,730.495392139333,109.5743088209
"30","Tongass","Pelican","1987",98,15785.8127985712,696409.317053333,0.696409317053333,105238.751990475,7106.21752095238,1073.86481622933,161.0797224344
"31","Tongass","Petersburg","2000",3043,222685.554129846,8154147.81714412,8.15414781714412,1484570.36086564,2679.64108351762,487.864068638067,73.1796102957101
"32","Tongass","Point Baker","1996",12,1570.608940362,58004.7033828571,0.0580047033828571,10470.72626908,4833.72528190476,872.560522423333,130.8840783635
"33","Tongass","Port Alexander","1987",78,11029.778865105,474737.562854286,0.474737562854286,73531.8591007,6086.37901095238,942.716142316667,141.4074213475
"34","Tongass","Port Protection","1996",36,7362.2396137752,270528.82584,0.27052882584,49081.597425168,7514.68960666667,1363.37770625467,204.5066559382
"35","Tongass","Saxman","1999",384,37824.8023440725,1632750.3408613,1.6327503408613,252165.348960483,4251.95401265965,656.680596251258,98.5020894376888
"36","Tongass","Sitka","2013",8458,670534.572414561,27733561.6541795,27.7335616541795,4470230.48276374,3278.97394823594,528.520984010846,79.2781476016269
"37","Tongass","Skagway","1987",1164,25395.911048508,1098444.83809143,1.09844483809143,169306.07365672,943.681132380952,145.451953313333,21.817792997
"38","Tongass","Tenakee Springs","1987",116,17360.3589207048,843619.719032381,0.843619719032381,115735.726138032,7272.5837847619,997.721777052,149.6582665578
"39","Tongass","Thorne Bay","1998",476,38695.3844864664,1532045.62745333,1.53204562745333,257969.229909776,3218.58325095238,541.952163676,81.2928245514
"40","Tongass","Whale Pass","2012",86,9604.001968484,441763.349466667,0.441763349466667,64026.6797898933,5136.78313333333,744.496276626667,111.674441494
"41","Tongass","Whitestone","1996",2,161.8599013108,8002.31532190476,0.00800231532190476,1079.06600873867,4001.15766095238,539.533004369333,80.9299506554
"42","Tongass","Wrangell","2000",2127,161569.855634097,6496128.78514365,6.49612878514365,1077132.37089398,3054.12730848315,506.409201172533,75.9613801758799
"43","Tongass","Yakutat","2015",657,77911.9587286387,3858107.78754987,3.85810778754987,519413.058190925,5872.31017891914,790.583041386492,118.587456207974
