,Project_Type,Community_Name,Study_Year,Taxa_lvl4,Taxa_lvl5,Percent_Using,Percent_Attempting_to_Harvest,Percent_Harvesting,Percent_Receiving,Percent_Giving,Number_Of_Resource_Harvested,Estimated_Amount_Harvested,Percapita_Number_Harvested,Percapita_Pounds_Harvested
1,Comprehensive Survey,Chenega,2003,Seal,Harbor Seal,0.875,0.5,0.4375,0.75,0.6875,37,46.25,NA,46.044445
2,Comprehensive Survey,Cordova,2003,Seal,Harbor Seal,0.05685619,0.03625179,0.03625179,0.030906593,0.049988054,30,98.614125,NA,2.2827744
3,Comprehensive Survey,Nanwalek,2003,Seal,Harbor Seal,0.77272725,0.27272728,0.18181819,0.72727275,0.3181818,12,27.81818214,NA,6.72
4,Comprehensive Survey,Port Graham,2003,Seal,Harbor Seal,0.7446808,0.25531915,0.14893617,0.7234042,0.31914893,45,45,NA,16.125256
5,Comprehensive Survey,Tatitlek,2003,Seal,Harbor Seal,0.96,0.44,0.44,0.84,0.68,81,87.48,NA,66.70588
6,Comprehensive Survey,Chenega,1993,Porpoise,Porpoise,0,0,0,0,0,0,0,NA,0
7,Comprehensive Survey,Chenega,1997,Porpoise,Porpoise,0,0,0,0,0,0,0,NA,0
8,Comprehensive Survey,Chenega,2003,Porpoise,Porpoise,0.125,0,0,0.125,0,0,0,NA,0
9,Comprehensive Survey,Chenega,1985,Seal,Seal,0.813,0.625,0.5,0.438,0.375,146,155,NA,96.83
10,Comprehensive Survey,Cordova,1985,Porpoise,Porpoise,0,0,0,0,0,0,0,NA,0
11,Comprehensive Survey,Cordova,1993,Porpoise,Porpoise,0,0,0,0,0,0,0,NA,0
12,Comprehensive Survey,Cordova,1997,Porpoise,Porpoise,0,0,0,0,0,NA,0,NA,0
13,Comprehensive Survey,Cordova,2003,Porpoise,Porpoise,0.003434066,0,0,0.003434066,0,0,0,NA,0
14,Comprehensive Survey,Cordova,1985,Seal,Seal,0.073,0.01,0.01,0.063,0.015,7,29,NA,0.48
15,Comprehensive Survey,Nanwalek,1997,Porpoise,Porpoise,0,0,0,0,0,0,0,NA,0
16,Comprehensive Survey,Port Graham,1997,Porpoise,Porpoise,0,0,0,0,0,0,0,NA,0
17,Comprehensive Survey,Tatitlek,1987,Porpoise,Porpoise,0.26299998,0.053000003,0.053000003,0.21100001,0.053000003,1,2,NA,0.79
18,Comprehensive Survey,Tatitlek,1993,Porpoise,Porpoise,0.05,0,0,0.05,0.05,0,0,NA,0
19,Comprehensive Survey,Tatitlek,1997,Porpoise,Porpoise,0.188,0.125,0.125,0.063,0.125,3,5,NA,3.75
20,Comprehensive Survey,Tatitlek,2003,Porpoise,Porpoise,0.36,0.12,0.08,0.32,0.24,1,1.44,NA,1.1764706
21,Comprehensive Survey,Valdez,1993,Porpoise,Porpoise,0,0,0,0,0,0,0,NA,0
22,Comprehensive Survey,Chenega,1990,Seal,Bearded Seal,0,0,0,0,0,0,0,NA,0
23,Comprehensive Survey,Chenega,1984,Seal,Harbor Seal,0.875,0.75,0.75,0.813,0.75,186,186,NA,123.35
24,Comprehensive Survey,Chenega,1989,Seal,Harbor Seal,0.38900003,0.222,0.16700001,0.333,0.16700001,14,16,NA,1.2
25,Comprehensive Survey,Chenega,1990,Seal,Harbor Seal,0.833,0.38900003,0.38900003,0.611,0.333,48.5,57,NA,27.78
