"","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Habitat"
"1","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","Marine"
"2","Fish","Non-Salmon Fish","Shark","Shark","Shark","Marine"
"3","Fish","Non-Salmon Fish","Whitefish","Whitefish","Whitefish","Freshwater_Anadromous"
"4","Fish","Non-Salmon Fish","Pike","Pike","Pike","Freshwater_Anadromous"
"5","Fish","Non-Salmon Fish","Smelt","Smelt","Smelt","Freshwater_Anadromous"
"6","Fish","Non-Salmon Fish","Sculpin","Sculpin","Sculpin","Marine"
"7","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Irish Lord","Marine"
"8","Fish","Non-Salmon Fish","Sole","Sole","Sole","Marine"
"9","Fish","Non-Salmon Fish","Tuna_Mackerel","Tuna_Mackerel","Tuna_Mackerel","Marine"
"10","Fish","Non-Salmon Fish","Sheefish","Sheefish","Sheefish","Freshwater_Anadromous"
"11","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Sturgeon","Freshwater_Anadromous"
"12","Fish","Non-Salmon Fish","Hexagrammidae","Hexagrammidae","Hexagrammidae","Marine"
"13","Fish","Non-Salmon Fish","Trout","Trout","Trout","Freshwater_Anadromous"
"14","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chum Salmon","Freshwater_Anadromous"
"15","Fish","Salmon","Oncorhynchus","Oncorhynchus","Coho Salmon","Freshwater_Anadromous"
"16","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chinook Salmon","Freshwater_Anadromous"
"17","Fish","Salmon","Oncorhynchus","Oncorhynchus","Pink Salmon","Freshwater_Anadromous"
"18","Fish","Salmon","Oncorhynchus","Oncorhynchus","Sockeye Salmon","Freshwater_Anadromous"
"19","Fish","Salmon","Oncorhynchus","Oncorhynchus","Landlocked Salmon","Freshwater_Anadromous"
"20","Fish","Salmon","Oncorhynchus","Oncorhynchus","Unknown Salmon","Freshwater_Anadromous"
"21","Fish","Non-Salmon Fish","Herring","Herring","Herring","Marine"
"22","Fish","Non-Salmon Fish","Herring","Herring Roe","Herring Roe","Nearshore"
"23","Fish","Non-Salmon Fish","Smelt","Smelt","Eulachon (hooligan, candlefish)","Freshwater_Anadromous"
"24","Fish","Non-Salmon Fish","Smelt","Smelt","Unknown Smelt","Freshwater_Anadromous"
"25","Fish","Non-Salmon Fish","Bass","Bass","Sea Bass","Marine"
"26","Fish","Non-Salmon Fish","Gadiformes","Gadiformes","Pacific Cod (gray)","Marine"
"27","Fish","Non-Salmon Fish","Gadiformes","Gadiformes","Pacific Tom Cod","Marine"
