Year,Harbor seal harvest per capita,Native households harvesting harbor seal,Native households using harbor seal Harvest,Struck and lost,Total take
1995,0.13,9.6,30.9,83.4,85.4
1996,0.17,18.3,33.4,122.2,130.8
1997,0.17,19.9,30.8,120.8,120.8
1998,0.2,13.7,24.3,79.1,88.3
2000,0.24,7.5,45.5,87.8,101.8
2001,0.28,,,102.7,108.5
2002,0.28,,,102.7,108.5
2003,0.21,,,77.7,80.5
2004,0.21,,,77.7,80.5
2005,0.15,87.5,87.5,57.0,66.0
2006,0.08,85.7,85.7,30.9,33.4
2007,0.09,100.0,100.0,32.0,36.0
2008,0.09,87.5,87.5,32.0,36.0
