Year,Sea Lion Harvest per capita,Native Households Harvesting Sea Lion,Native Households Using Sea Lion,Harvest,Struck and Lost,Total Take,Total Take Confidence Interval (+/-),Lower Range Estimate,Upper Range Estimate
1995,0.06,10.3%,60.3%,10.0,2.0,12.0,0.0%,12.0,12.0
1996,0.01,1.8%,10.5%,1.1,0.0,1.1,60.5%,1.0,1.8
1997,0.0,0.0%,21.4%,0.0,0.0,0.0,0.0%,0.0,0.0
1998,0.01,2.0%,7.8%,1.2,0.0,1.2,82.6%,1.0,2.2
2000,0.01,2.5%,45.0%,1.7,3.4,5.0,91.8%,3.0,9.6
2001,0.0,0.0%,14.3%,0.0,0.0,0.0,0.0%,0.0,0.0
2002,0.0,0.0%,14.3%,0.0,0.0,0.0,0.0%,0.0,0.0
2003,0.01,N/A,N/A,1.0,0.0,1.0,0.0%,1.0,1.0
2004,0.05,5.6%,27.8%,6.9,5.6,12.5,83.3%,9.0,22.9
2005,0.0,0.0%,3.8%,0.0,0.0,0.0,0.0%,0.0,0.0
2006,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0%,0.0,0.0
2007,0.0,0.0%,3.7%,0.0,0.0,0.0,0.0%,0.0,0.0
2008,0.02,3.1%,18.8%,2.8,0.0,2.8,102.4%,2.0,5.6
