Year,Harbor Seal Harvest per capita,Native Households Harvesting Harbor Seal,Native Households Using Harbor Seal,Harvest,Struck and Lost,Total Take,Total Take Confidence Interval (+/-),Lower Range Estimate,Upper Range Estimate
1995,0.64,N/A,N/A,16.8,0.0,16.8,52.2%,14.0,25.6
1996,0.04,N/A,N/A,13.5,4.5,18.0,80.0%,12.0,32.4
1997,0.03,N/A,N/A,12.5,0.0,12.5,36.5%,10.0,17.1
1998,0.11,N/A,N/A,41.7,8.3,50.0,70.5%,30.0,85.2
2000,0.11,N/A,N/A,41.7,8.3,50.0,70.5%,30.0,85.2
2001,0.04,N/A,N/A,18.0,0.0,19.0,0.0%,18.0,18.0
2002,0.11,N/A,N/A,44.0,6.0,50.0,61.0%,25.0,80.5
2003,0.15,N/A,N/A,60.0,5.0,65.0,0.0%,65.0,65.0
2004,0.14,N/A,N/A,58.0,0.0,58.0,52.6%,29.0,88.5
2005,0.15,100.0%,100.0%,63.0,6.0,69.0,104.4%,23.0,141.0
2006,0.15,100.0%,100.0%,63.0,6.0,69.0,104.4%,23.0,141.0
2007,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0%,0.0,0.0
2008,0.06,100.0%,100.0%,24.0,0.0,24.0,0.0%,24.0,24.0
