"","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Habitat"
"1","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chum Salmon","Freshwater_Anadromous"
"2","Fish","Salmon","Oncorhynchus","Oncorhynchus","Coho Salmon","Freshwater_Anadromous"
"3","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chinook Salmon","Freshwater_Anadromous"
"4","Fish","Salmon","Oncorhynchus","Oncorhynchus","Pink Salmon","Freshwater_Anadromous"
"5","Fish","Salmon","Oncorhynchus","Oncorhynchus","Sockeye Salmon","Freshwater_Anadromous"
"6","Fish","Salmon","Oncorhynchus","Oncorhynchus","Salmon Roe","Freshwater_Anadromous"
"7","Fish","Salmon","Oncorhynchus","Oncorhynchus","Unknown Salmon","Freshwater_Anadromous"
"8","Fish","Non-Salmon Fish","Herring","Herring","Herring","Marine"
"9","Fish","Non-Salmon Fish","Herring","Herring Roe","Herring Roe","Nearshore"
"10","Fish","Non-Salmon Fish","Smelt","Smelt","Eulachon (hooligan, candlefish","Marine"
"11","Fish","Non-Salmon Fish","Smelt","Smelt","Silver Smelt","Marine"
"12","Fish","Non-Salmon Fish","Bass","Bass","Sea Bass","Marine"
"13","Fish","Non-Salmon Fish","Gadiformes","Gadiformes","Pacific Cod (gray)","Marine"
"14","Fish","Non-Salmon Fish","Gadiformes","Gadiformes","Pacific Tom Cod","Marine"
"15","Fish","Non-Salmon Fish","Eel","Eel","Eel","Marine"
"16","Fish","Non-Salmon Fish","Flounder","Flounder","Unknown Flounder","Marine"
"17","Fish","Non-Salmon Fish","Hexagrammidae","Hexagrammidae","Lingcod","Marine"
"18","Fish","Non-Salmon Fish","Halibut","Halibut","Halibut","Marine"
"19","Fish","Non-Salmon Fish","Rockfish","Rockfish","Black Rockfish","Marine"
"20","Fish","Non-Salmon Fish","Rockfish","Rockfish","Red Rockfish","Marine"
"21","Fish","Non-Salmon Fish","Rockfish","Rockfish","Yellow Eye Rockfish","Marine"
"22","Fish","Non-Salmon Fish","Rockfish","Rockfish","China Rockfish","Marine"
"23","Fish","Non-Salmon Fish","Rockfish","Rockfish","Unknown Rockfish","Marine"
"24","Fish","Non-Salmon Fish","Sablefish","Sablefish","Sablefish (black cod)","Marine"
"25","Fish","Non-Salmon Fish","Sculpin","Sculpin","Buffalo Sculpin","Marine"
"26","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Red Irish Lord","Marine"
"27","Fish","Non-Salmon Fish","Sculpin","Sculpin","Unknown Sculpin","Marine"
"28","Fish","Non-Salmon Fish","Skates","Skates","Skates","Marine"
"29","Fish","Non-Salmon Fish","Char","Char","Dolly Varden","Freshwater_Anadromous"
"30","Fish","Non-Salmon Fish","Trout","Trout","Rainbow Trout","Freshwater_Anadromous"
