,Taxa_lvl1,Taxa_lvl2,Taxa_lvl3,Taxa_lvl4,Taxa_lvl5,Habitat
1,Fish,Salmon,Oncorhynchus,Oncorhynchus,Chum Salmon,Freshwater_Anadromous
2,Fish,Salmon,Oncorhynchus,Oncorhynchus,Coho Salmon,Freshwater_Anadromous
3,Fish,Salmon,Oncorhynchus,Oncorhynchus,Chinook Salmon,Freshwater_Anadromous
4,Fish,Salmon,Oncorhynchus,Oncorhynchus,Pink Salmon,Freshwater_Anadromous
5,Fish,Salmon,Oncorhynchus,Oncorhynchus,Sockeye Salmon,Freshwater_Anadromous
6,Fish,Salmon,Oncorhynchus,Oncorhynchus,Salmon Roe,Freshwater_Anadromous
7,Fish,Non-Salmon Fish,Herring,Herring,Herring,Marine
8,Fish,Non-Salmon Fish,Herring,Herring Roe,Herring Roe,Nearshore
9,Fish,Non-Salmon Fish,Smelt,Smelt,"Eulachon (hooligan, candlefish",Marine
10,Fish,Non-Salmon Fish,Bass,Bass,Sea Bass,Marine
11,Fish,Non-Salmon Fish,Halibut,Halibut,Halibut,Marine
12,Fish,Non-Salmon Fish,Rockfish,Rockfish,Black Rockfish,Marine
13,Fish,Non-Salmon Fish,Rockfish,Rockfish,Yellow Eye Rockfish,Marine
14,Fish,Non-Salmon Fish,Rockfish,Rockfish,China Rockfish,Marine
15,Fish,Non-Salmon Fish,Sablefish,Sablefish,Sablefish (black cod),Marine
16,Fish,Non-Salmon Fish,Sculpin,Irish Lord,Red Irish Lord,Marine
17,Fish,Non-Salmon Fish,Char,Char,Dolly Varden,Freshwater_Anadromous
18,Fish,Non-Salmon Fish,Trout,Trout,Rainbow Trout,Freshwater_Anadromous
19,Fish,Salmon,Oncorhynchus,Oncorhynchus,Unknown Salmon,Freshwater_Anadromous
20,Fish,Non-Salmon Fish,Gadiformes,Gadiformes,Pacific Cod (gray),Marine
21,Fish,Non-Salmon Fish,Flounder,Flounder,Unknown Flounder,Marine
22,Fish,Non-Salmon Fish,Hexagrammidae,Hexagrammidae,Lingcod,Marine
23,Fish,Non-Salmon Fish,Hexagrammidae,Hexagrammidae,Rock Greenling,Marine
24,Fish,Non-Salmon Fish,Rockfish,Rockfish,Dusky Rockfish,Marine
25,Fish,Non-Salmon Fish,Rockfish,Rockfish,Copper Rockfish,Marine
26,Fish,Non-Salmon Fish,Rockfish,Rockfish,Unknown Rockfish,Marine
27,Fish,Non-Salmon Fish,Sculpin,Sculpin,Unknown Sculpin,Marine
28,Fish,Non-Salmon Fish,Trout,Trout,Cutthroat Trout,Freshwater_Anadromous
29,Fish,Non-Salmon Fish,Trout,Trout,Steelhead,Freshwater_Anadromous
30,Fish,Non-Salmon Fish,Gadiformes,Gadiformes,Gadiformes,Marine
31,Fish,Non-Salmon Fish,Flounder,Flounder,Flounder,Marine
