"","Project_Name","Site_Year_Code","Habitat","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Resource_Code","Resource_Name","Sampled_households","Est_Num_Community_Households","Sampled_Population","Est_Comm_Population","Most_Rep_Year","Conversion_Units_To_Pounds","Resource_Harvest_Units","Percent_Using","Percent_Attempting_to_Harvest","Percent_Harvesting","Percent_Receiving","Percent_Giving","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Lower_Pounds_Harvested","Upper_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Percent_Of_Total_Harvest","Mean_Grams_Per_Capita_Use","Mean_Pounds_Per_Capita_Use","Mean_Grams_Percapita_Harvest"
"1","Prince William Sound 1989","Chenega_1989","Marine","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","121400000","Flounder",18,21,63,73.6,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"2","Gulf of Alaska 1990","Chenega_1990","Marine","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","121400000","Flounder",18,21,66,77,"No",NA,NA,0,0.055999998,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"3","Gulf of Alaska 1990","Chenega_1990","Marine","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Irish Lord","123006000","Irish Lord",18,21,66,77,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"4","MMSII 1993","Chenega_1993","Marine","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Irish Lord","123006000","Irish Lord",23,28,83,101,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"5","Chenega/San Juan Bay 1984","Chenega_1984","Marine","Fish","Non-Salmon Fish","Shark","Shark","Shark","123200000","Shark",16,16,57,57,"No",0,"Ind.",0.063,0.063,0.063,0,0,0,0,0,0,0,0,1,1,0,NA,NA,NA
"6","Chenega Bay 1985","Chenega_1985","Marine","Fish","Non-Salmon Fish","Shark","Shark","Shark","123200000","Shark",16,17,57,60.6,"No",1,"Ind.",0.063,0.063,0.063,0,0,4,4,2,6,0.25,0.07,4,4,1.7608734e-06,1.3807914,1.111111,0.086989865
"7","Gulf of Alaska 1990","Chenega_1990","Marine","Fish","Non-Salmon Fish","Shark","Shark","Shark","123200000","Shark",18,21,66,77,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"8","Gulf of Alaska 1990","Chenega_1990","Marine","Fish","Non-Salmon Fish","Sole","Sole","Sole","123600000","Sole",18,21,66,77,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"9","MMSII 1992","Chenega_1992","Marine","Fish","Non-Salmon Fish","Sole","Sole","Sole","123600000","Sole",23,26,80,90.4,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"10","MMSII 1991","Chenega_1991","Freshwater_Anadromous","Fish","Non-Salmon Fish","Pike","Pike","Pike","125400000","Pike",18,22,66,80.7,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"11","MMSII 1992","Chenega_1992","Freshwater_Anadromous","Fish","Non-Salmon Fish","Pike","Pike","Pike","125400000","Pike",23,26,80,90.4,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
