"","Site","log_alpha","y0","yf","alpha","richness","sw_diversity","evenness","X","avg","sd","sw_div_h","richness_h","evenness_h","evenness_h_log"
"1","Angoon",-1.59365497157873,94.1035504199718,0.811180807311623,0.203181629863673,45,2.55912899190363,0.672276304710703,1,25,8.92337405091508,1.33139879413584,4,0.960401218872661,-0.040404145505627
"2","Beecher Pass",-1.66841359113381,100.325288645558,-0.391204606109228,0.188545939458068,27,2.63377267145991,0.799121066526856,2,25,10.412889362667,1.30686855034688,4,0.942706388339595,-0.0590004039618619
"3","Chenega",-1.91594487855773,97.840848401966,1.1665485376522,0.147202678200245,68,2.97059367031494,0.704014277938368,3,25,17.235599561195,1.16739821439009,4,0.842099807321608,-0.171856735753237
"4","Coffman Cove",-1.77287503981882,92.0556774618528,1.03443646927996,0.169843977999716,50,2.72065364106023,0.695459519866109,4,25,8.99928449520842,1.3310852736438,4,0.960175061643121,-0.040639655266816
"5","Cooper Landing",-1.44324144127458,94.8951526087485,1.45013637197193,0.236161014615314,36,2.45259290350991,0.68440908102653,5,24.9978780291134,22.3831989248949,1.03518457113544,4,0.746727823590936,-0.29205451956032
"6","Cordova",-1.60699699661827,99.3562894465217,1.64501998481319,0.200488779455235,76,2.71573295608712,0.627083854557429,6,24.998917950929,16.0784810277874,1.18620734832311,4,0.855667729445898,-0.155873144731691
"7","Craig",-2.06412524252268,93.1185793899627,0.301925632636181,0.1269292743508,56,2.97704503784396,0.739573897281076,7,24.999615161409,6.27582168178737,1.36055858200549,4,0.981435559549117,-0.0187389224906819
"8","Edna Bay",-1.92790903402513,90.4485544858767,1.03631106700557,0.145452015953268,42,2.81862929585946,0.754114082762082,8,25,14.0667074484671,1.25297441307249,4,0.903829986050219,-0.101114004805583
"9","Elfin Cove",-1.32094826575829,94.7922428168112,2.20167067304621,0.266882106773304,22,2.30672382385969,0.746260803164807,9,25,10.7542918052154,1.31167715433206,4,0.946175062901108,-0.0553276711301602
"10","Game Creek",-1.43994946308807,99.4649088498537,-0.672128628158009,0.236939732581956,24,2.38347542159238,0.749979562596467,10,25,8.4002321878328,1.3470075789192,4,0.971660577073289,-0.028748736048289
