"","X","Forest","site","Site","Year","richness","sw_diversity","evenness","avg","sd","sw_div_h","richness_h","evenness_h","evenness_h_log","sd_log","harvest_total_mean","harvest_total_sd","harvest_total_cv","n","prop_days_below_threshold","synchrony_loreau","synchrony_gross","1_logSD","log_1_SD"
"1",1,"Chugach","Chenega_1984","Chenega",1984,37,2.2259960645067,0.616462660840893,25,22.8261756125231,1.03769058236108,4,0.748535528574758,-0.289636609883205,3.12790793063213,0.249007312619814,0.226055156691859,0.907825373935914,220,60.2739726027397,0.249605768122674,0.023181684791862,0.319702504733861,-3.12790793063213
"2",2,"Chugach","Chenega_1985","Chenega",1985,37,2.50031135278762,0.692430958907253,25,21.093747707939,1.07817346425848,4,0.777737755051894,-0.251365887395325,3.04897667941213,0.240623403198941,0.196168875311283,0.815252684083666,232,63.5616438356164,0.19633577562177,0.102375412163352,0.327978894280297,-3.04897667941213
"3",3,"Chugach","Chenega_1989","Chenega",1989,19,2.02748088063315,0.688579690385407,25,26.858487584621,0.923980855528254,4,0.666511299073477,-0.405698186658644,3.29058188216134,0.269574363543372,0.397403048954867,1.47418709899292,258,70.6849315068493,0.42036500616478,0.366939279372915,0.303897619269445,-3.29058188216134
"4",4,"Chugach","Chenega_1990","Chenega",1990,27,2.33482041992779,0.708415044449205,25,17.1438896783709,1.115165678273,4,0.804421996907017,-0.217631275725284,2.84164182315121,0.272217534818597,0.243241501899359,0.893555597222834,226,61.9178082191781,0.223026860212462,0.125372034813676,0.351909234954552,-2.84164182315121
"5",5,"Chugach","Chenega_1991","Chenega",1991,34,2.6868479159736,0.761932280383062,25,18.457458970932,1.14200408007999,4,0.823781811503183,-0.193849576001291,2.91546856905461,0.268968166374516,0.298553967668983,1.10999740859025,250,68.4931506849315,0.314681712538142,0.320364324483131,0.342998038330514,-2.9154685690546
"6",6,"Chugach","Chenega_1992","Chenega",1992,39,2.58762177811133,0.706313153170224,25,16.1802137127025,1.21562421844932,4,0.876887515770679,-0.13137655507468,2.78378911999197,0.269476694564447,0.311305108239907,1.15522089486465,251,68.7671232876712,0.290507147029374,0.239353046849794,0.359222612380525,-2.78378911999197
"7",7,"Chugach","Chenega_1993","Chenega",1993,36,2.61771447481151,0.730487132834661,25,22.7453737782634,1.01134680314382,4,0.729532508757249,-0.315351348945375,3.12436177431246,0.260750262525883,0.308512253171892,1.18317140003366,278,76.1643835616438,0.379576013867242,0.328503789889973,0.320065367660587,-3.12436177431246
"8",8,"Chugach","Chenega_1997","Chenega",1997,46,2.76408234675255,0.721948613230596,25,14.9999895974643,1.23289706129589,4,0.889347238129081,-0.117267525659281,2.70804950759959,0.265589546574457,0.27329093104421,1.02899731773741,238,65.2054794520548,0.251470759505379,0.24368597259997,0.369269467634806,-2.70804950759959
"9",9,"Chugach","Chenega_2003","Chenega",2003,45,2.60112056547757,0.683307378173817,25,20.3920401188457,1.10365748199773,4,0.796120588059065,-0.228004612075076,3.01514463445348,0.267375586224808,0.279681198745379,1.04602369533554,250,68.4931506849315,0.279724611196469,0.238791485716074,0.331659048316684,-3.01514463445348
"10",10,"Chugach","Chenega_2014","Chenega",2014,29,2.54077903354128,0.754545831974461,25,18.8287318074687,1.15753932352523,4,0.834988120841909,-0.180337780769115,2.93538399082417,0.269646871612087,0.364149841287871,1.3504693717038,262,71.7808219178082,0.362168538202888,0.384320705483969,0.340670932023183,-2.93538399082417
"11",11,"Chugach","Cordova_1985","Cordova",1985,50,2.76370505611721,0.706464418098363,25,15.213619602044,1.22237452550149,4,0.881756833025002,-0.125838960505583,2.72219105311043,0.264064209683825,0.283256324364124,1.0726797270379,246,67.3972602739726,0.240751009520977,0.201425773114844,0.36735114490123,-2.72219105311043
"12",12,"Chugach","Cordova_1988","Cordova",1988,50,2.65949304473911,0.679825512541445,25,13.5939406251823,1.25277329991177,4,0.903684913570409,-0.10127452628195,2.60962415119255,0.269113966548279,0.257128743177062,0.955464134675198,229,62.7397260273973,0.243504081833378,0.237384802625198,0.383196944105157,-2.60962415119255
"13",13,"Chugach","Cordova_1991","Cordova",1991,52,2.51773232276344,0.637199955781861,25,19.6168736938517,1.11249116669841,4,0.802492744614289,-0.220032464997916,2.97639009861979,0.268593056986406,0.307473878634734,1.14475735927268,244,66.8493150684932,0.261650367120564,0.192282759552167,0.335977464937718,-2.97639009861979
"14",14,"Chugach","Cordova_1992","Cordova",1992,34,2.30577925789368,0.653869404956731,25,17.3243708471161,1.17110548924046,4,0.84477404084253,-0.168686094671614,2.8521142296758,0.272457176128822,0.306665243451903,1.12555392303892,240,65.7534246575342,0.255960766928151,0.245859085188272,0.350617092960429,-2.8521142296758
"15",15,"Chugach","Cordova_1993","Cordova",1993,49,2.59127953168607,0.665827127975066,25,18.691986433012,1.1435720883521,4,0.824912890382307,-0.192477485637586,2.92809489902003,0.269895418609341,0.297128041475516,1.10090064887538,243,66.5753424657534,0.267674928364746,0.265264181778982,0.341518985718215,-2.92809489902003
"16",16,"Chugach","Cordova_1997","Cordova",1997,57,2.72816913101379,0.674779751797456,25,16.7479450215681,1.14606080991303,4,0.826708123509358,-0.190303580342177,2.8182755654651,0.265619029232436,0.283739196833802,1.0682186349891,233,63.8356164383562,0.253465273519979,0.241875668546742,0.354826906301822,-2.8182755654651
"17",17,"Chugach","Cordova_2003","Cordova",2003,58,2.55189125523846,0.628476067416853,25,19.9926040423941,1.08581631708443,4,0.783250907987013,-0.244302189894826,2.9953624072816,0.269500044261765,0.310866904742162,1.15349481887364,242,66.3013698630137,0.254762866951958,0.183877107361025,0.33384941921186,-2.9953624072816
