"","Forest","Site_Year_Code","Site","Year","richness","sw_diversity","evenness","avg","sd","sw_div_h","richness_h","evenness_h","evenness_h_log","sd_log"
"1","Chugach","Chenega_1984","Chenega","1984",37,2.2259960645067,0.616462660840893,25,22.8261756125231,1.03769058236108,4,0.748535528574758,-0.289636609883205,3.12790793063213
"2","Chugach","Chenega_1985","Chenega","1985",37,2.50031135278762,0.692430958907253,25,21.093747707939,1.07817346425848,4,0.777737755051894,-0.251365887395325,3.04897667941213
"3","Chugach","Chenega_1989","Chenega","1989",19,2.02748088063315,0.688579690385407,25,26.858487584621,0.923980855528254,4,0.666511299073477,-0.405698186658644,3.29058188216134
"4","Chugach","Chenega_1990","Chenega","1990",27,2.33482041992779,0.708415044449205,25,17.1438896783709,1.115165678273,4,0.804421996907017,-0.217631275725284,2.84164182315121
"5","Chugach","Chenega_1991","Chenega","1991",34,2.6868479159736,0.761932280383062,25,18.457458970932,1.14200408007999,4,0.823781811503183,-0.193849576001291,2.91546856905461
"6","Chugach","Chenega_1992","Chenega","1992",39,2.58762177811133,0.706313153170224,25,16.1802137127025,1.21562421844932,4,0.876887515770679,-0.13137655507468,2.78378911999197
"7","Chugach","Chenega_1993","Chenega","1993",36,2.61771447481151,0.730487132834661,25,22.7453737782634,1.01134680314382,4,0.729532508757249,-0.315351348945375,3.12436177431246
"8","Chugach","Chenega_1997","Chenega","1997",46,2.76408234675255,0.721948613230596,25,14.9999895974643,1.23289706129589,4,0.889347238129081,-0.117267525659281,2.70804950759959
"9","Chugach","Chenega_2003","Chenega","2003",45,2.60112056547757,0.683307378173817,25,20.3920401188457,1.10365748199773,4,0.796120588059065,-0.228004612075076,3.01514463445348
"10","Chugach","Chenega_2014","Chenega","2014",29,2.54077903354128,0.754545831974461,25,18.8287318074687,1.15753932352523,4,0.834988120841909,-0.180337780769115,2.93538399082417
"11","Chugach","Cordova_1985","Cordova","1985",50,2.76370505611721,0.706464418098363,25,15.213619602044,1.22237452550149,4,0.881756833025002,-0.125838960505583,2.72219105311043
"12","Chugach","Cordova_1988","Cordova","1988",50,2.65949304473911,0.679825512541445,25,13.5939406251823,1.25277329991177,4,0.903684913570409,-0.10127452628195,2.60962415119255
"13","Chugach","Cordova_1991","Cordova","1991",52,2.51773232276344,0.637199955781861,25,19.6168736938517,1.11249116669841,4,0.802492744614289,-0.220032464997916,2.97639009861979
"14","Chugach","Cordova_1992","Cordova","1992",34,2.30577925789368,0.653869404956731,25,17.3243708471161,1.17110548924046,4,0.84477404084253,-0.168686094671614,2.8521142296758
"15","Chugach","Cordova_1993","Cordova","1993",49,2.59127953168607,0.665827127975066,25,18.691986433012,1.1435720883521,4,0.824912890382307,-0.192477485637586,2.92809489902003
"16","Chugach","Cordova_1997","Cordova","1997",57,2.72816913101379,0.674779751797456,25,16.7479450215681,1.14606080991303,4,0.826708123509358,-0.190303580342177,2.8182755654651
"17","Chugach","Cordova_2003","Cordova","2003",58,2.55189125523846,0.628476067416853,25,19.9926040423941,1.08581631708443,4,0.783250907987013,-0.244302189894826,2.9953624072816
"18","Chugach","Cordova_2014","Cordova","2014",47,2.29327921774577,0.5956341041905,25,20.1240970557322,1.06996355715425,4,0.771815558919173,-0.259009670818828,3.00191795550217
"19","Chugach","Nanwalek_1987","Nanwalek","1987",36,2.80070706434263,0.781552187233385,25,21.4461036506881,1.10200005387147,4,0.79492500638987,-0.229507500362378,3.06554298088746
"20","Chugach","Nanwalek_1989","Nanwalek","1989",33,2.55830726103285,0.731675026025074,25,17.978946959262,1.20908029511442,4,0.872167072899066,-0.136774276064273,2.8892014599903
"21","Chugach","Nanwalek_1990","Nanwalek","1990",40,2.65126334852794,0.718717806181273,25,28.170705185158,0.966092352435951,4,0.696888322950049,-0.361130106381803,3.3382826147719
"22","Chugach","Nanwalek_1991","Nanwalek","1991",32,2.54871713050718,0.735404312962292,25,24.8212287039859,1.04668646235309,4,0.755024684301208,-0.281004835828878,3.21169928314365
"23","Chugach","Nanwalek_1992","Nanwalek","1992",38,2.69169680918973,0.739967849831549,25,21.697223598922,1.1156708230204,4,0.804786381818017,-0.217178400980104,3.07718430761065
"24","Chugach","Nanwalek_1993","Nanwalek","1993",40,2.58877094416887,0.701777050828215,25,23.2305610061627,1.06283455146448,4,0.766673068341624,-0.265694815757054,3.14546869656229
"25","Chugach","Nanwalek_1997","Nanwalek","1997",43,2.55081983495279,0.678193065109598,25,28.5695070197905,0.92345710053779,4,0.666133489709785,-0.406265193526482,3.35233996092372
"26","Chugach","Nanwalek_2003","Nanwalek","2003",38,2.229004957958,0.612770353768244,25,36.2904848432344,0.706982865258706,4,0.509980336851103,-0.673383109200952,3.59155558137917
"27","Chugach","Nanwalek_2014","Nanwalek","2014",44,2.2527972233433,0.595318269240826,25,32.7302536790436,0.82168979178126,4,0.592723893875955,-0.523026597392084,3.48829983914127
"28","Chugach","Port Graham_1987","Port Graham","1987",38,2.70723864922822,0.744240419430189,25,19.5880443129874,1.132060556284,4,0.816609075268462,-0.202594786677566,2.97491939608927
"29","Chugach","Port Graham_1989","Port Graham","1989",35,2.49942548453567,0.703004443252344,25,24.6501152736101,0.990373268243418,4,0.714403301361887,-0.33630762826327,3.20478157689197
"30","Chugach","Port Graham_1990","Port Graham","1990",38,2.44750788835158,0.672838465092377,25,23.5324602364113,1.00479664967286,4,0.724807571792437,-0.32184907757444,3.15838075470707
"31","Chugach","Port Graham_1991","Port Graham","1991",42,2.66524148832099,0.713075729134422,25,23.3148465198066,1.02459203530907,4,0.739086924137364,-0.30233974094925,3.14909034734377
"32","Chugach","Port Graham_1992","Port Graham","1992",41,2.58001393114594,0.694752622220049,25,21.674305945764,1.07697258158765,4,0.776871501314946,-0.252480320263977,3.07612750119724
"33","Chugach","Port Graham_1993","Port Graham","1993",40,2.60023337274702,0.704884343631009,25,26.6632256841528,1.00038546400353,4,0.721625573947652,-0.32624887024691,3.28328530083553
"34","Chugach","Port Graham_1997","Port Graham","1997",38,2.43599381895204,0.669673160163792,25,26.1075613128845,0.945760153229067,4,0.682221741466981,-0.38240053986751,3.26222497784662
"35","Chugach","Port Graham_2003","Port Graham","2003",44,2.35206207049854,0.621549736677216,25,26.7621493470715,0.910805604216726,4,0.657007364208673,-0.420060051719138,3.28698855143189
"36","Chugach","Port Graham_2014","Port Graham","2014",37,2.40621769148936,0.666372858564187,25,23.8439929750932,1.01975792110343,4,0.735599847841579,-0.307068993101396,3.17153231873816
"37","Chugach","Tatitlek_1987","Tatitlek","1987",33,2.58788993095393,0.740135659786342,25,17.7512865093513,1.15295940452852,4,0.831684407629795,-0.184302227872755,2.87645799269499
"38","Chugach","Tatitlek_1988","Tatitlek","1988",36,2.71041325102116,0.756355218870112,25,14.7845935403377,1.24061901425297,4,0.894917449747658,-0.111023799880001,2.69358566157299
"39","Chugach","Tatitlek_1989","Tatitlek","1989",28,2.01112328860091,0.60354137402424,25,18.5718514337344,1.07894779888031,4,0.77829631941134,-0.250647954038204,2.92164707064982
"40","Chugach","Tatitlek_1990","Tatitlek","1990",23,2.46778714120059,0.787048857772907,25,14.4084964990829,1.2490557371984,4,0.901003258925022,-0.104246404371437,2.66781806723848
"41","Chugach","Tatitlek_1991","Tatitlek","1991",31,2.39028353988382,0.696066524872853,25,14.250277742955,1.26452310946891,4,0.912160609560143,-0.0919391974389772,2.6567763972584
"42","Chugach","Tatitlek_1993","Tatitlek","1993",35,2.51321157538274,0.706882007588845,25,16.9611446737543,1.13373224506717,4,0.817814943827157,-0.201119198013415,2.8309251206425
"43","Chugach","Tatitlek_1997","Tatitlek","1997",36,2.4978210131587,0.697030225333436,25,20.9606417516332,1.1392415919083,4,0.821789097510274,-0.196271489218209,3.04264647690555
"44","Chugach","Tatitlek_2003","Tatitlek","2003",32,2.36322782151185,0.681883411717195,25,20.1694535527553,1.14675878410692,4,0.827211605463454,-0.189694745510802,3.00416925951957
"45","Chugach","Tatitlek_2014","Tatitlek","2014",26,2.42820584914359,0.745283579171706,25,22.3732595029596,1.03757167419564,4,0.748449754464458,-0.289751205679657,3.10786647355808
"46","Chugach","Valdez_1991","Valdez","1991",46,2.6760748422871,0.698961998567192,25,17.3195728345863,1.12211267876157,4,0.809433198483971,-0.211421031216487,2.85183723970003
"47","Chugach","Valdez_1992","Valdez","1992",38,2.48133968561131,0.682139082527727,25,18.8489837520983,1.08783918674378,4,0.784710099999966,-0.242440928770632,2.93645900008517
"48","Chugach","Valdez_1993","Valdez","1993",34,2.71380739165755,0.769577407844011,25,15.9234444750961,1.15287341132885,4,0.831622376648435,-0.18437681541364,2.76779251851447
"49","Tongass","Angoon_1984","Angoon","1984",39,2.54875790200851,0.695704930938211,25,11.0355486062051,1.3000390000073,4,0.93777990913639,-0.0642399959551646,2.40112175357989
"50","Tongass","Angoon_1987","Angoon","1987",30,2.37307384907235,0.697717180974847,25,9.81701301872152,1.31815316975816,4,0.950846520571086,-0.0504026168732041,2.28411690285003
"51","Tongass","Angoon_1996","Angoon","1996",38,2.39856919840734,0.659384848381918,25,9.25007957408972,1.33469472674147,4,0.962778731685284,-0.0379316633823483,2.22463215409163
"52","Tongass","Angoon_2012","Angoon","2012",30,2.43446058825132,0.715765748079462,25,9.94662851724765,1.32294562906953,4,0.95430354921217,-0.0467734723872111,2.29723365126274
"53","Tongass","Coffman Cove_1987","Coffman Cove","1987",30,2.07992277683239,0.611526631193613,25,15.5787167675348,1.20427649351039,4,0.868701862523294,-0.140755293683458,2.74590567296415
"54","Tongass","Coffman Cove_1998","Coffman Cove","1998",48,2.71180398807443,0.700507150218595,25,6.25326529777418,1.36037768641296,4,0.981305070961992,-0.0188718881870029,1.83310377496392
"55","Tongass","Craig_1987","Craig","1987",34,2.71713888638667,0.77052214809557,25,3.35304433935168,1.37939642863386,4,0.995024193505011,-0.00498822703873818,1.20986869118183
"56","Tongass","Craig_1997","Craig","1997",54,2.88278975340492,0.722687711896937,25,9.27217124879304,1.32608510571024,4,0.956568202902443,-0.0444031879889533,2.22701757532257
"57","Tongass","Edna Bay_1987","Edna Bay","1987",37,2.78684094352886,0.771781860166434,25,10.669076211291,1.31310775162124,4,0.947207020708411,-0.0542376028143969,2.36734948342976
"58","Tongass","Edna Bay_1998","Edna Bay","1998",30,2.35790622753861,0.6932576863229,25,20.507523959324,1.08682244758019,4,0.783976677725375,-0.24337600687347,3.02079184121416
"59","Tongass","Haines_1983","Haines","1983",42,2.8633853910743,0.766088414307038,25,20.2640140662084,1.05461019633436,4,0.760740450161256,-0.273463043473127,3.0088466068468
"60","Tongass","Haines_1987","Haines","1987",28,2.47785084720366,0.743607074426947,25,18.5929118432691,1.14632958304347,4,0.826902002340566,-0.190069088754268,2.9227804243931
"61","Tongass","Haines_1996","Haines","1996",45,2.66383480608587,0.699782240543892,25,24.7106795816243,1.02374070890265,4,0.738472821945006,-0.303170979387285,3.20723552191389
"62","Tongass","Haines_2012","Haines","2012",37,2.73323395375652,0.756936053346894,25,17.7272431441587,1.18561165537681,4,0.855238027816141,-0.156375453683506,2.87510261697294
"63","Tongass","Hollis_1987","Hollis","1987",33,2.77559506141064,0.793819264685507,25,6.09885919135863,1.36279396183348,4,0.983048045245296,-0.0170972838896999,1.80810173587919
