"","Forest","Project_Name","Site_Year_Code","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Resource_Code","Resource_Name","Sampled_households","Est_Num_Community_Households","Sampled_Population","Est_Comm_Population","Most_Rep_Year","Conversion_Units_To_Pounds","Resource_Harvest_Units","Percent_Using","Percent_Attempting_to_Harvest","Percent_Harvesting","Percent_Receiving","Percent_Giving","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Lower_Pounds_Harvested","Upper_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Percent_Of_Total_Harvest","Mean_Grams_Per_Capita_Use","Mean_Pounds_Per_Capita_Use","Mean_Grams_Percapita_Harvest"
"1","Tongass","Southeast Timber 1984/1985","Angoon_1984","Vegetation","Vegetation","Berries","Berries","Berries",601000000,"Berries",38,145,163,622,"No",1,"Quarts",0.71099997,0.632,0.632,0.237,0.368,425,1621,782,2460,11.18,2.61,425,1622,0.00012054823,4.5618553,3.670886,3.243479
"2","Tongass","Tongass Resource Use Cooperative Study 1987","Angoon_1987","Vegetation","Vegetation","Berries","Berries","Berries",601000000,"Berries",46,139,193,520.8,"No",1.5,"Quarts",0.916,NA,0.708,0.347,0.146,NA,2128,1389,2867,15.258,4.09,NA,1419,0.00016729296,5.5487924,4.465066,5.0826936
"3","Tongass","Southeast Harvest Update 1996","Angoon_1996","Vegetation","Vegetation","Berries","Berries","Berries",601000000,"Berries",74,161,267,580.9,"No",NA,"Quarts",0.311,0.35099998,0.284,0.068,0.054,453.5,987,575,1399,6.13,1.7,303,659,7.569889e-05,6.7929616,5.466238,2.112611
"4","Tongass","Tongass Resource Use Cooperative Study 1987","Beecher Pass_1987","Vegetation","Vegetation","Berries","Berries","Berries",601000000,"Berries",5,17,13,44.2,"Yes",1.5,"Quarts",0.8,NA,0.8,0.2,0.2,159,541,-222,1304,31.8,12.24,106,360,0.000256617,19.013498,15.299999,15.210798
"5","Tongass","Tongass Resource Use Cooperative Study 1987","Coffman Cove_1987","Vegetation","Vegetation","Berries","Berries","Berries",601000000,"Berries",41,66,120,185.9,"No",1.5,"Quarts",0.50200003,NA,0.485,0.046,0.12100001,NA,751,331,1170,11.325,4.04,NA,500,0.00022029922,10.001111,8.047809,5.020558
"6","Tongass","Prince of Wales 1998/1999","Coffman Cove_1998","Vegetation","Vegetation","Berries","Berries","Berries",601000000,"Berries",50,75,142,213,"Yes",NA,"Quarts",0.82,0.82,0.82,0.2,0.22,1134.19,1701,1235,2167,22.68,7.99,761,1142,0.0002891972,12.108868,9.743902,9.929272
"7","Tongass","Tongass Resource Use Cooperative Study 1987","Craig_1987","Vegetation","Vegetation","Berries","Berries","Berries",601000000,"Berries",64,365,213,1182.3,"No",1.5,"Quarts",0.465,NA,0.4,0.129,0.162,NA,3267,1996,4538,8.953,2.76,NA,2178,0.00014905489,7.376099,5.935484,3.429886
"8","Tongass","Prince of Wales 1997/1998","Craig_1997","Vegetation","Vegetation","Berries","Berries","Berries",601000000,"Berries",173,608,502,1764.3,"Yes",NA,"Quarts",0.618,0.584,0.584,0.15,0.24299999,5939.44,20874,16519,25229,34.33,11.83,3975.5,13972,0.00051295786,23.78849,19.142395,14.701286
"9","Tongass","Tongass Resource Use Cooperative Study 1987","Edna Bay_1987","Vegetation","Vegetation","Berries","Berries","Berries",601000000,"Berries",20,21,66,69.3,"No",1.5,"Quarts",0.9,NA,0.85,0.35,0.5,891,936,861,1011,44.55,13.51,594,624,0.00028206364,18.654493,15.011111,16.789043
"10","Tongass","Prince of Wales 1998/1999","Edna Bay_1998","Vegetation","Vegetation","Berries","Berries","Berries",601000000,"Berries",12,17,37,52.4,"Yes",NA,"Quarts",0.833,0.833,0.833,0.333,0.25,950,1346,751,1941,79.17,25.68,656,929,0.00067001843,38.310745,30.828331,31.912853
"11","Tongass","Tongass Resource Use Cooperative Study 1987","Elfin Cove_1987","Vegetation","Vegetation","Berries","Berries","Berries",601000000,"Berries",13,19,41,59.9,"Yes",1.5,"Quarts",0.92300004,NA,0.92300004,0.538,0.231,477,697,444,950,36.692,11.64,318,465,0.00044352526,15.671908,12.611051,14.465172
"12","Tongass","Southeast Harvest Update 1996","Game Creek_1996","Vegetation","Vegetation","Berries","Berries","Berries",601000000,"Berries",12,15,51,63.8,"Yes",NA,"Quarts",1,0.917,0.917,0.417,0.5,829.5,1037,756,1318,69.13,16.26,553,691,0.0008688731,20.206503,16.26,20.206503
