"","Site_Year_Code","Family","est_total_lb_harv_diff","est_amount_harv_diff","mean_lb_perhousehold_diff","num_res_harv_diff","percap_lb_harv_diff","per_total_harv_diff","rep_lb_harv_diff"
"1","Angoon_2012","Char",0,126.9,0,0,0,0,0
"2","Angoon_2012","Gadidae",0,478.9,0,0,0,0,0
"3","Angoon_2012","Hexagrammidae",0,126.8,0,0,0,0,0
"4","Angoon_2012","Oncorhynchus",-0.0999999999985448,10315.3,-1.4210854715202e-14,0,0.100000000000009,-2.60000002083594e-09,0
"5","Angoon_2012","Rockfish",0,598,0,0,0,0.001,0
"6","Angoon_2012","Trout",0,14.3,-5.55111512312578e-17,0,0,0.001,0
"7","Haines_1983","Oncorhynchus",-1,74766,0,16652.4,-0.00999999999999801,-4.16299999997545e-08,0
"8","Haines_1983","Trout",10045,12600,15.22,2806.6,5.27,0.000418491097,2238.6
"9","Haines_1996","Osmeridae",0,95441,0,11264,0,0,0
"10","Haines_2012","Char",0,4589.3,0,0,0,0.001000001,0
"11","Haines_2012","Gadidae",0,290.7,0,0,0,0,0
"12","Haines_2012","Hexagrammidae",0,722.6,0,0,0,0,0
"13","Haines_2012","Oncorhynchus",0,71091.1,0,0.099999999999909,-7.105427357601e-15,-0.000999990000000062,-1.81898940354586e-12
"14","Haines_2012","Osmeridae",0,22240.3,0,0,0,0,0
"15","Haines_2012","Rockfish",0.100000000000136,502,0,0,0,0,0
"16","Haines_2012","Trout",0.100000000000364,1580.2,0,0,0,-0.000999999999999999,0
"17","Hoonah_1985","Rockfish",0,623,0,158,0,-2.50000000356302e-12,0
"18","Hoonah_1985","Trout",3,0,0.00999999999999979,0,0,1.59562500000012e-07,0
"19","Hoonah_1996","Osmeridae",0,6255,-3.5527136788005e-15,1720,0,6.99999999913443e-12,0
"20","Hoonah_2012","Char",0,1554.8,0,0,0,0,0
"21","Hoonah_2012","Gadidae",5.6843418860808e-14,110.5,0,0,0,0,0
"22","Hoonah_2012","Hexagrammidae",1.13686837721616e-13,592.2,0.1,0,0,0,0
"23","Hoonah_2012","Oncorhynchus",-0.0999999999985448,42754.9,0,0,0.0999999999999943,-2.00000002670286e-09,0
"24","Hoonah_2012","Osmeridae",0,1542.7,0,0,0,0,0
"25","Hoonah_2012","Rockfish",0.099999999999909,1350.5,0.0999999999999996,0,-0.100000000000001,0.001,0
"26","Hoonah_2012","Trout",0.100000000000023,411.7,0.0999999999999996,0,0.1,0,0
"27","Hoonah_2016","Char",0,288,0,72,0,0,0
"28","Hoonah_2016","Gadidae",0,190.25,-9.99999993922529e-09,46.6,2.7999999985262e-08,2.29999999948327e-10,0
"29","Hoonah_2016","Oncorhynchus",-0.000400000000809086,23275.4045,4.60000001112348e-06,5759.89463,0,-1.4999999575771e-09,9.99999974737875e-06
