"","Project_Name","Site_Year_Code","Habitat","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Conversion_Units_To_Pounds","Resource_Harvest_Units","Est_Comm_Population","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Percent_Of_Total_Harvest"
"1","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Dolly Varden","3","Ind.","64",36,48,1.5,0.75,12,16,0.1
"2","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Osmeridae","Osmeridae","Eulachon (hooligan, candlefish","9","Gal.","64",4477.2,5969.6,186.5,93.27604,497.4,663.2,20.6
"3","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Rainbow Trout","2","Ind.","64",10,13.3,0.4,0.20833333,5,6.6,0
"4","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chinook Salmon","8.712","Ind.","64",400.7,534.3,16.6,8.349,46,61.3,1.8
"5","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chum Salmon","6.734","Ind.","64",188.5,251.4,7.8,3.9281666,28,37.3,0.8
"6","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Coho Salmon","5.1","Ind.","64",1728.9,2305.2,72,36.01875,339,452,7.9
"7","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Pink Salmon","2.555","Ind.","64",25.5,34,1,0.53229165,10,13.3,0.1
"8","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Sockeye Salmon","4.292","Ind.","64",12013.3,16017.7,500.5,250.27725,2799,3732,55.4
"9","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Bass","Bass","Sea Bass","1","Ind.","64",3,4,0.1,0.0625,3,4,0
"10","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Halibut","Halibut","Halibut","1","Lbs.","64",306,408,12.7,6.375,306,408,1.4
