"","General_Category","General_Category_lvl2","Family","Species","Species_2","Habitat"
"1","Fish","Salmon","Oncorhynchus","Chum Salmon","Chum Salmon","Freshwater_Anadromous"
"2","Fish","Salmon","Oncorhynchus","Coho Salmon","Coho Salmon","Freshwater_Anadromous"
"3","Fish","Salmon","Oncorhynchus","Chinook Salmon","Chinook Salmon","Freshwater_Anadromous"
"4","Fish","Salmon","Oncorhynchus","Pink Salmon","Pink Salmon","Freshwater_Anadromous"
"5","Fish","Salmon","Oncorhynchus","Sockeye Salmon","Sockeye Salmon","Freshwater_Anadromous"
"6","Fish","Non-Salmon Fish","Osmeridae","Eulachon (hooligan, candlefish","Eulachon (hooligan, candlefish","Freshwater_Anadromous"
"7","Fish","Non-Salmon Fish","Bass","Sea Bass","Sea Bass","Marine"
"8","Fish","Non-Salmon Fish","Halibut","Halibut","Halibut","Marine"
"9","Fish","Non-Salmon Fish","Sculpin","Red Irish Lord","Red Irish Lord","Marine"
"10","Fish","Non-Salmon Fish","Char","Dolly Varden","Dolly Varden","Freshwater_Anadromous"
"11","Fish","Non-Salmon Fish","Trout","Rainbow Trout","Rainbow Trout","Freshwater_Anadromous"
"12","Fish","Salmon","Oncorhynchus","Unknown Salmon","Salmon","Freshwater_Anadromous"
"13","Fish","Non-Salmon Fish","Clupeidae","Herring","Herring","Marine"
"14","Fish","Non-Salmon Fish","Clupeidae","Herring Roe","Herring Roe","Nearshore"
"15","Fish","Non-Salmon Fish","Gadidae","Pacific Cod (gray)","Pacific Cod (gray)","Marine"
"16","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","Marine"
"17","Fish","Non-Salmon Fish","Flounder","Unknown Flounder","Flounder","Marine"
"18","Fish","Non-Salmon Fish","Hexagrammidae","Lingcod","Lingcod","Marine"
"19","Fish","Non-Salmon Fish","Hexagrammidae","Rock Greenling","Rock Greenling","Marine"
"20","Fish","Non-Salmon Fish","Rockfish","Black Rockfish","Black Rockfish","Marine"
"21","Fish","Non-Salmon Fish","Rockfish","Yellow Eye Rockfish","Yellow Eye Rockfish","Marine"
"22","Fish","Non-Salmon Fish","Rockfish","Dusky Rockfish","Dusky Rockfish","Marine"
"23","Fish","Non-Salmon Fish","Rockfish","Copper Rockfish","Copper Rockfish","Marine"
"24","Fish","Non-Salmon Fish","Sablefish","Sablefish (black cod)","Sablefish (black cod)","Marine"
"25","Fish","Non-Salmon Fish","Trout","Cutthroat Trout","Cutthroat Trout","Freshwater_Anadromous"
"26","Fish","Non-Salmon Fish","Trout","Steelhead","Steelhead","Freshwater_Anadromous"
"27","Fish","Non-Salmon Fish","Unknown Non-Salmon Fish","Unknown Non-Salmon Fish","Non-Salmon Fish","Marine"
"28","Fish","Non-Salmon Fish","Rockfish","Red Rockfish","Red Rockfish","Marine"
